rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,r,rssi
-32,-54,-48,-51,-66,-53,-61,-76,-75,-95,-80,,-62.81818182
-30,-55,-47,-47,-71,-57,-63,-76,-77,-91,-80,,-63.09090909
-29,-54,-44,-47,-70,-60,-65,-75,-79,-92,-81,,-63.27272727
-31,-53,-45,-48,-70,-62,-63,-73,-78,-93,-81,,-63.36363636
-33,-52,-47,-49,-64,-61,-62,-70,-80,-90,-80,,-62.54545455
-33,-52,-46,-50,-58,-59,-61,-67,-78,-83,-81,,-60.72727273
-37,-49,-46,-51,-65,-58,-58,-65,-76,-84,-81,,-60.90909091
-39,-49,-45,-53,-61,-60,-58,-62,-75,-82,-82,,-60.54545455
-41,-46,-45,-57,-60,-61,-59,-65,-73,-81,-86,,-61.27272727
-43,-45,-46,-59,-56,-62,-60,-63,-72,-82,-87,,-61.36363636
-43,-42,-43,-60,-54,-66,-63,-62,-73,-79,-88,,-61.18181818
-41,-41,-50,-58,-53,-67,-67,-63,-75,-79,-88,,-62
-40,-42,-53,-58,-53,-67,-84,-61,-73,-74,-87,,-62.90909091
-43,-40,-54,-60,-53,-66,-78,-59,-73,-73,-89,,-62.54545455
-47,-39,-54,-61,-53,-67,-80,-58,-74,-75,-92,,-63.63636364
-48,-37,-55,-62,-54,-68,-74,-55,-72,-78,-92,,-63.18181818
-45,-35,-55,-62,-54,-67,-87,-58,-69,-78,-92,,-63.81818182
-45,-35,-55,-61,-54,-67,-94,-55,-70,-78,-94,,-64.36363636
-44,-34,-54,-61,-52,-67,-83,-56,-71,-76,-93,,-62.81818182
-47,-37,-58,-66,-50,-71,-78,-58,-70,-74,-94,,-63.90909091
-45,-43,-59,-66,-51,-74,-74,-60,-74,-72,-93,,-64.63636364
-46,-44,-59,-64,-49,-75,-71,-61,-76,-70,-91,,-64.18181818
-49,-44,-57,-67,-47,-71,-74,-64,-73,-72,-94,,-64.72727273
-48,-43,-61,-65,-47,-72,-75,-63,-74,-70,-94,,-64.72727273
-48,-43,-61,-64,-44,-75,-74,-65,-73,-72,-95,,-64.90909091
-50,-44,-62,-63,-41,-75,-79,-66,-75,-65,-95,,-65
-50,-44,-63,-63,-38,-77,-76,-67,-71,-61,-95,,-64.09090909
-54,-45,-63,-65,-40,-77,-75,-64,-73,-62,-94,,-64.72727273
-55,-48,-61,-64,-39,-78,-73,-63,-71,-58,-93,,-63.90909091
-56,-47,-62,-65,-40,-78,-73,-65,-73,-60,-94,,-64.81818182
-62,-47,-60,-67,-36,-79,-75,-73,-72,-60,-96,,-66.09090909
-61,-48,-64,-77,-35,-82,-76,-79,-78,-57,-96,,-68.45454545
-63,-49,-62,-82,-30,-86,-76,-82,-74,-57,-97,,-68.90909091
-64,-54,-66,-85,-31,-85,-75,-84,-73,-54,-98,,-69.90909091
-66,-57,-64,-84,-28,-85,-73,-83,-70,-49,-97,,-68.72727273
-66,-55,-66,-85,-29,-84,-72,-85,-71,-53,-96,,-69.27272727
-64,-52,-65,-85,-36,-82,-71,-85,-73,-53,-97,,-69.36363636
-63,-55,-67,-85,-36,-80,-73,-87,-69,-60,-93,,-69.81818182
-62,-58,-70,-88,-37,-84,-74,-91,-66,-58,-92,,-70.90909091
-65,-59,-73,-90,-38,-89,-72,-92,-65,-58,-93,,-72.18181818
-68,-59,-73,-90,-43,-93,-74,-92,-62,-57,-95,,-73.27272727
-71,-58,-74,-91,-47,-94,-71,-94,-59,-59,-94,,-73.81818182
-69,-63,-72,-92,-47,-94,-69,-94,-58,-63,-89,,-73.63636364
-71,-61,-72,-92,-46,-91,-66,-95,-56,-66,-86,,-72.90909091
-69,-63,-70,-92,-45,-88,-63,-93,-56,-67,-80,,-71.45454545
-68,-63,-68,-92,-44,-84,-62,-88,-52,-63,-73,,-68.81818182
-70,-68,-67,-93,-45,-84,-61,-87,-51,-65,-69,,-69.09090909
-71,-64,-69,-91,-52,-84,-57,-88,-48,-66,-69,,-69
-73,-65,-68,-92,-52,-85,-56,-89,-45,-74,-69,,-69.81818182
-72,-63,-65,-93,-55,-85,-57,-91,-48,-76,-68,,-70.27272727
-69,-66,-65,-92,-58,-84,-57,-90,-44,-82,-68,,-70.45454545
-70,-65,-65,-89,-59,-81,-54,-91,-48,-82,-64,,-69.81818182
-69,-66,-66,-88,-60,-78,-55,-86,-49,-84,-63,,-69.45454545
-69,-64,-66,-87,-58,-79,-52,-84,-44,-86,-63,,-68.36363636
-65,-63,-67,-86,-60,-79,-49,-89,-47,-86,-61,,-68.36363636
-68,-67,-63,-85,-60,-80,-44,-91,-45,-87,-59,,-68.09090909
-71,-65,-61,-85,-65,-78,-45,-93,-42,-86,-57,,-68
-67,-66,-57,-83,-68,-78,-43,-93,-42,-88,-56,,-67.36363636
-64,-68,-55,-81,-70,-74,-42,-94,-46,-89,-55,,-67.09090909
-59,-71,-57,-80,-67,-70,-40,-96,-52,-86,-53,,-66.45454545
-56,-70,-51,-78,-69,-63,-39,-95,-51,-86,-53,,-64.63636364
-58,-71,-47,-78,-68,-64,-39,-96,-52,-87,-54,,-64.90909091
-59,-74,-48,-78,-85,-62,-37,-98,-56,-87,-53,,-67
-59,-75,-46,-77,-81,-61,-35,-99,-60,-88,-51,,-66.54545455
-56,-75,-47,-73,-83,-60,-31,-98,-60,-90,-51,,-65.81818182
-58,-74,-48,-73,-91,-60,-30,-96,-60,-93,-50,,-66.63636364
